jornada,match,result,liga
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_6/,Eibar - Celta en directo,0 - 4,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_6/,Espanyol - Deportivo en directo,4 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_6/,Getafe - Villarreal en directo,4 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_6/,Las Palmas - Leganés en directo,0 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_6/,R. Sociedad - Valencia en directo,2 - 3,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_6/,Betis - Levante en directo,4 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_15/,Alavés - Las Palmas en directo,2 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_15/,Deportivo - Leganés en directo,1 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_15/,Getafe - Eibar en directo,0 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_15/,Real Madrid - Sevilla en directo,5 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_15/,Valencia - Celta en directo,2 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_15/,Levante - Athletic en directo,1 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_15/,Betis - Atlético en directo,0 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_15/,R. Sociedad - Málaga en directo,0 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_15/,Villarreal - Barcelona en directo,0 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_15/,Espanyol - Girona en directo,0 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_13/,Celta - Leganés en directo,1 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_14/,Málaga - Levante en directo,0 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_13/,Alavés - Eibar en directo,1 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_13/,Levante - Atlético en directo,0 - 5,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_13/,Betis - Girona en directo,2 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_13/,Real Madrid - Málaga en directo,3 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_13/,Deportivo - Athletic en directo,2 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_13/,R. Sociedad - Las Palmas en directo,2 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_13/,Valencia - Barcelona en directo,1 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_13/,Villarreal - Sevilla en directo,2 - 3,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_13/,Espanyol - Getafe en directo,1 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_14/,Athletic - Real Madrid en directo,0 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_14/,Atlético - R. Sociedad en directo,2 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_14/,Barcelona - Celta en directo,2 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_14/,Sevilla - Deportivo en directo,2 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_14/,Eibar - Espanyol en directo,3 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_14/,Getafe - Valencia en directo,1 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_14/,Las Palmas - Betis en directo,1 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_14/,Leganés - Villarreal en directo,3 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_14/,Girona - Alavés en directo,2 - 3,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_16/,Sevilla - Levante en directo,0 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_12/,Girona - R. Sociedad en directo,1 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_16/,Athletic - R. Sociedad en directo,0 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_16/,Atlético - Alavés en directo,1 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_16/,Eibar - Valencia en directo,2 - 1,primera
